Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country, BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (Use),Unit Revenue,Revenue [USD],Title,Author,publisher_imprint,Sale Date
LSI,9/1/15,9/30/15,1,3.6,USD,United States,,,9781620153970,,,,,18.95,,,,Under the Squatting Eagle,"Fishel, Dennis",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153987,,,,,18.95,,,,Dating Bradford - A Memoir,"Noble, Bradford",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620154007,,,,,16.95,,,,A Decent Woman,"Parker Sapia, Eleanor",Booktrope Editions,
LSI,9/1/15,9/30/15,12,6.59,USD,United States,,,9781620154007,,,,,16.95,,,,A Decent Woman,"Parker Sapia, Eleanor",Booktrope Editions,
LSI,9/1/15,9/30/15,1,3.11,USD,United States,,,9781620154014,,,,,12.95,,,,Along the Wheel of Time: Sacred Stories for Nature Lovers,"Laxer, Judith",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620154021,,,,,13.95,,,,How to Un-Marry a Millionaire,"Morton, Billie",Booktrope Editions,
LSI,9/1/15,9/30/15,1,2.6,USD,United States,,,9781620154045,,,,,13.95,,,,Dangerous Reflections,"West, Shay",Booktrope Editions,
LSI,9/1/15,9/30/15,5,13.65,USD,United States,,,9781620154267,,,,,20.95,,,,Zeus Is Dead: A Monstrously Inconvenient Adventure,"Munz, Michael G.",Libertary Co.,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620154274,,,,,20.95,,,,Billy Purgatory: I Am the Devil Bird,"Freeman, Jesse James",Booktrope Editions,
LSI,9/1/15,9/30/15,1,3.21,USD,United States,,,9781620154281,,,,,15.95,,,,Arielle Immortal Passion,"Roberts, Lilian",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620154311,,,,,18.95,,,,The Lycan Hunter,"Jordan, Kelsey",Booktrope Editions,
