Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Sale Date
CreateSpace,7/1/15,7/31/15,1,5.24,USD,United States,,,9781620155561,,1620155567,,,12.95,,,5.24,Misadventures of Princess Sydney,,7/7/15
CreateSpace,7/1/15,7/31/15,1,5.24,USD,United States,,,9781620155561,,1620155567,,,12.95,,,5.24,Misadventures of Princess Sydney,,7/7/15
CreateSpace,7/1/15,7/31/15,1,1.74,USD,United States,,,9781935961956,,1935961950,,,8.99,,,1.74,Princesses Can Be Pirates Too!,,7/7/15
CreateSpace,7/1/15,7/31/15,1,4.43,USD,United States,,,9781935961734,,193596173X,,,11.95,,,4.43,American Goulash,,7/7/15
CreateSpace,7/1/15,7/31/15,1,4.43,USD,United States,,,9781935961734,,193596173X,,,11.95,,,4.43,American Goulash,,7/7/15
CreateSpace,7/1/15,7/31/15,1,4.43,USD,United States,,,9781935961734,,193596173X,,,11.95,,,4.43,American Goulash,,7/7/15
CreateSpace,7/1/15,7/31/15,1,4.43,USD,United States,,,9781935961734,,193596173X,,,11.95,,,4.43,American Goulash,,7/7/15
CreateSpace,7/1/15,7/31/15,1,4.43,USD,United States,,,9781935961734,,193596173X,,,11.95,,,4.43,American Goulash,,7/7/15
CreateSpace,7/1/15,7/31/15,1,4.43,USD,United States,,,9781935961734,,193596173X,,,11.95,,,4.43,American Goulash,,7/8/15
CreateSpace,7/1/15,7/31/15,1,4.43,USD,United States,,,9781935961734,,193596173X,,,11.95,,,4.43,American Goulash,,7/8/15
CreateSpace,7/1/15,7/31/15,1,4.43,USD,United States,,,9781935961734,,193596173X,,,11.95,,,4.43,American Goulash,,7/8/15
CreateSpace,7/1/15,7/31/15,1,4.43,USD,United States,,,9781935961734,,193596173X,,,11.95,,,4.43,American Goulash,,7/8/15
