Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Revenue [USD],Unit revenue,Title,Author,Imprints
Scribd,10/1/14,10/31/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,10/1/14,10/31/14,,1.5,usd,Malta,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,10/1/14,10/31/14,,1.5,usd,United Kingdom,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,10/1/14,10/31/14,,1.5,usd,Hungary,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,10/1/14,10/31/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,10/1/14,10/31/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,10/1/14,10/31/14,,1.5,usd,Nigeria,,9781620150542,,,,,,2.99,,1.5,,Revision 7: DNA,Terry Persun,
Scribd,10/1/14,10/31/14,,4.98,usd,United States,,9781620150955,,,,,,9.94,,4.98,,The Art of Grant Writing: Communicating Your Vision to Funders,Sharon Charnell Gherman,
Scribd,10/1/14,10/31/14,,1.5,usd,United States,,9781620150283,,,,,,2.99,,1.5,,Throwaway,Heather Huffman,
Scribd,9/1/14,9/30/14,,4.5,usd,United States,,9781620150931,,,,,,8.99,,4.5,,The Art of Selling Real Estate,,
Scribd,9/1/14,9/30/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,9/1/14,9/30/14,,1.5,usd,Costa Rica,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,9/1/14,9/30/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,9/1/14,9/30/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,9/1/14,9/30/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,9/1/14,9/30/14,,1.5,usd,Canada,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,9/1/14,9/30/14,,1.5,usd,Australia,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
